"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.134152833E0,-3.572387695E-1,1.238900566E1,-5.028500366E1,5.178992831E1
2.144197833E0,-4.823303223E-1,1.234592438E1,-5.028405762E1,5.177973486E1
2.154241833E0,-3.996887207E-1,1.232828140E1,-5.032879639E1,5.181827881E1
2.164285833E0,-3.269348145E-1,1.247239399E1,-5.046333313E1,5.198283841E1
2.174330833E0,-4.678955078E-1,1.250681686E1,-5.048558044E1,5.201377920E1
2.184374833E0,-5.079650879E-1,1.255568218E1,-5.060238647E1,5.213928174E1
2.194418833E0,-4.658203125E-1,1.254844570E1,-5.042257690E1,5.196264754E1
2.204462833E0,-5.874328613E-1,1.255699635E1,-5.032667542E1,5.187289748E1
2.214507833E0,-5.090637207E-1,1.254705143E1,-5.037161255E1,5.191326416E1
2.224551833E0,-5.404663086E-1,1.261477089E1,-5.027621460E1,5.183746042E1
2.234595833E0,-5.061035156E-1,1.261821651E1,-5.034631348E1,5.190594195E1
2.244640833E0,-3.638000488E-1,1.257250881E1,-5.033216858E1,5.187993371E1
2.254684833E0,-4.294128418E-1,1.258502197E1,-5.037129211E1,5.192142374E1
2.264728833E0,-4.148559570E-1,1.263737774E1,-5.054429626E1,5.210183592E1
2.274772833E0,-4.867553711E-1,1.266234303E1,-5.023782349E1,5.181129964E1
2.284817833E0,-4.366760254E-1,1.264224625E1,-5.027296448E1,5.184002347E1
2.294861833E0,-4.246826172E-1,1.251283741E1,-5.030024719E1,5.183499130E1
2.304905833E0,-4.755554199E-1,1.249908257E1,-5.053227234E1,5.205731232E1
2.314949833E0,-4.913024902E-1,1.254726982E1,-5.051074219E1,5.204815496E1
2.324994833E0,-4.854125977E-1,1.246640778E1,-5.065184021E1,5.216565791E1
2.335038833E0,-3.360290527E-1,1.251489353E1,-5.039450073E1,5.192630528E1
2.345082833E0,-3.508605957E-1,1.251242828E1,-5.035324097E1,5.188576723E1
2.355127833E0,-3.476562500E-1,1.263661671E1,-5.046900940E1,5.202812563E1
2.365171833E0,-3.061523438E-1,1.254627514E1,-5.032371521E1,5.186500807E1
2.375215833E0,-4.569091797E-1,1.247308922E1,-5.022090149E1,5.174867793E1
2.385259833E0,-3.957824707E-1,1.251421928E1,-5.042306519E1,5.195428597E1
2.395304833E0,-4.878540039E-1,1.244839954E1,-5.038955688E1,5.190672496E1
2.405348833E0,-4.573669434E-1,1.247307968E1,-5.049128723E1,5.201112369E1
2.415392833E0,-3.939514160E-1,1.248374939E1,-5.033900452E1,5.186535040E1
2.425436833E0,-4.344787598E-1,1.258346176E1,-5.033757019E1,5.188837302E1
2.435481833E0,-3.315429688E-1,1.263062668E1,-5.035324097E1,5.191427094E1
2.445525583E0,-3.026733398E-1,1.255167961E1,-5.033229065E1,5.187461570E1
2.455569583E0,-4.388732910E-1,1.250467110E1,-5.072265625E1,5.224315521E1
2.465614583E0,-4.064636230E-1,1.255750847E1,-5.063085938E1,5.216646579E1
2.475658583E0,-4.508972168E-1,1.260300255E1,-5.073802185E1,5.228179265E1
2.485702583E0,-3.491516113E-1,1.259530830E1,-5.065275574E1,5.219641139E1
2.495746583E0,-3.789672852E-1,1.257673359E1,-5.071005249E1,5.224774892E1
2.505791583E0,-4.472045898E-1,1.260059261E1,-5.027616882E1,5.183307899E1
2.515835583E0,-4.277343750E-1,1.253317642E1,-5.049349976E1,5.202746376E1
2.525879583E0,-5.192565918E-1,1.246805477E1,-5.028819275E1,5.181336070E1
2.535923583E0,-5.346679688E-1,1.251777744E1,-5.015405273E1,5.169535402E1
2.545968583E0,-5.129089355E-1,1.242674255E1,-5.043183899E1,5.194282809E1
2.556012583E0,-6.409912109E-1,1.240912914E1,-5.031962585E1,5.183109204E1
2.566056583E0,-5.908508301E-1,1.247669697E1,-5.046766663E1,5.199040726E1
2.576100583E0,-5.391845703E-1,1.241224575E1,-5.035162354E1,5.186174464E1
2.586145583E0,-5.752563477E-1,1.247509480E1,-5.047778320E1,5.199966834E1
2.596189583E0,-5.241394043E-1,1.240794754E1,-5.027177429E1,5.178303945E1
2.606233583E0,-6.541137695E-1,1.251232910E1,-5.015617371E1,5.169746614E1
2.616278583E0,-6.898498535E-1,1.255621719E1,-5.026252747E1,5.181173757E1
2.626322583E0,-5.520019531E-1,1.248065948E1,-5.034490967E1,5.187177939E1
2.636366583E0,-6.150207520E-1,1.248614979E1,-5.022386169E1,5.175633749E1
2.646410583E0,-5.956115723E-1,1.245576191E1,-5.027946472E1,5.180275408E1
2.656455583E0,-5.491638184E-1,1.239211845E1,-5.035418701E1,5.185952497E1
2.666499583E0,-5.635375977E-1,1.246017551E1,-5.044471741E1,5.196386305E1
2.676543583E0,-5.570678711E-1,1.251652908E1,-5.020326233E1,5.174303212E1
2.686587583E0,-6.410827637E-1,1.255472660E1,-5.025289917E1,5.180140946E1
2.696632583E0,-4.864807129E-1,1.260568142E1,-5.046432495E1,5.201718909E1
2.706676583E0,-5.568542480E-1,1.263267231E1,-5.052868652E1,5.208687606E1
2.716720583E0,-5.217285156E-1,1.252546310E1,-5.069071960E1,5.221789426E1
